epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8282,1.23111,2.67489,1.25871,0.45055,0.49509,0.47519,0.34525,0.98553,2.11044,1.11774,0.000541419,0.000541419,0.000541419
2,26.8085,1.11125,1.56918,1.16826,0.58019,0.64098,0.62214,0.39816,1.19373,1.70484,1.32667,0.00108622,0.00108622,0.00108622
3,39.8915,1.15117,1.48499,1.20253,0.53541,0.50443,0.49908,0.32213,1.26228,2.16632,1.35622,0.00162003,0.00162003,0.00162003
4,52.9128,1.1211,1.37352,1.15506,0.64956,0.40554,0.49449,0.32015,1.26338,2.83791,1.44934,0.00161749,0.00161749,0.00161749
5,65.9666,1.11629,1.32632,1.178,0.56388,0.5172,0.5629,0.38296,1.1084,1.72985,1.27271,0.00160099,0.00160099,0.00160099
6,79.0342,1.12001,1.34989,1.18489,0.63341,0.73091,0.65334,0.44941,1.09811,1.22973,1.26291,0.00158448,0.00158448,0.00158448
7,92.1699,1.09091,1.32398,1.16538,0.45842,0.59471,0.55315,0.40107,1.10551,2.08904,1.24583,0.00156798,0.00156798,0.00156798
8,105.237,1.08402,1.28811,1.14579,0.58156,0.52644,0.50936,0.33048,1.27977,1.57731,1.38324,0.00155148,0.00155148,0.00155148
9,118.295,1.04236,1.24569,1.13472,0.65963,0.71937,0.69335,0.4996,1.01987,1.14968,1.20273,0.00153497,0.00153497,0.00153497
10,131.56,1.04359,1.22964,1.15422,0.5999,0.68441,0.67409,0.49515,0.99071,1.33401,1.16336,0.00151847,0.00151847,0.00151847
11,144.616,0.98596,1.10497,1.0927,0.65249,0.68268,0.68388,0.5015,1.01107,1.21054,1.18686,0.00150197,0.00150197,0.00150197
12,157.709,0.95502,1.10311,1.09177,0.69178,0.68691,0.72107,0.52886,0.92699,1.13768,1.1415,0.00148546,0.00148546,0.00148546
13,170.854,0.97727,1.13854,1.09753,0.67328,0.74788,0.72339,0.53191,0.96017,1.1408,1.15321,0.00146896,0.00146896,0.00146896
14,184,0.95798,1.06112,1.08235,0.66398,0.66923,0.73064,0.52823,0.98411,1.07343,1.18012,0.00145246,0.00145246,0.00145246
15,197.101,0.93971,1.02774,1.08386,0.61782,0.69171,0.70064,0.51815,0.95062,1.13249,1.15659,0.00143595,0.00143595,0.00143595
16,210.179,0.92357,1.02192,1.07635,0.64385,0.76677,0.74776,0.54471,0.95858,1.02439,1.17742,0.00141945,0.00141945,0.00141945
17,223.318,0.90716,0.97751,1.05448,0.58224,0.73204,0.71126,0.52477,0.93575,1.17897,1.14408,0.00140295,0.00140295,0.00140295
